DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/31/17,0:00,BRONX,10451,40.825115,-73.92541,"(40.825115, -73.92541)",WALTON AVENUE                   ,EAST 157 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781080,PASSENGER VEHICLE,PICK-UP TRUCK,,,
10/31/17,0:00,BROOKLYN,11207,,,,LINDEN BOULEVARD                ,WILLIAMS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780501,PASSENGER VEHICLE,DS,,,
10/31/17,0:00,BROOKLYN,11211,40.71612,-73.936035,"(40.71612, -73.936035)",,,350       MORGAN AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3780902,DS,PASSENGER VEHICLE,,,
10/31/17,0:00,MANHATTAN,10030,40.81561,-73.943474,"(40.81561, -73.943474)",,,2309      7 AVENUE                      ,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,Unspecified,,,3780511,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
10/31/17,0:00,QUEENS,11363,40.770733,-73.737404,"(40.770733, -73.737404)",LITTLE NECK PARKWAY             ,43 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780961,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/17,0:00,QUEENS,11412,40.692013,-73.754295,"(40.692013, -73.754295)",,,118-37    197 STREET                    ,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3780841,LL,PASSENGER VEHICLE,,,
10/31/17,0:00,,,40.733135,-73.954765,"(40.733135, -73.954765)",MANHATTAN AVENUE                ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3781862,PICK-UP TRUCK,PICK-UP TRUCK,,,
10/31/17,0:00,,,40.75351,-73.8979,"(40.75351, -73.8979)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781130,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/17,0:00,BROOKLYN,11217,40.685658,-73.985695,"(40.685658, -73.985695)",DEAN STREET                     ,BOND STREET,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,3782240,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/17,0:00,MANHATTAN,10036,40.759727,-73.99169,"(40.759727, -73.99169)",WEST 44 STREET                  ,9 AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3781009,PASSENGER VEHICLE,,,,
10/31/17,0:00,QUEENS,11377,,,,Northern Blvd                   ,53 place,,1,0,1,0,0,0,0,0,Unspecified,,,,,3780655,PASSENGER VEHICLE,,,,
10/31/17,0:02,,,40.640762,-74.00767,"(40.640762, -74.00767)",53 STREET                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780226,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/17,0:10,,,40.757366,-73.95574,"(40.757366, -73.95574)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780273,TAXI,PASSENGER VEHICLE,,,
10/31/17,0:30,QUEENS,11101,40.746033,-73.93441,"(40.746033, -73.93441)",SKILLMAN AVENUE                 ,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3780272,TAXI,TAXI,,,
10/31/17,0:31,,,40.82366,-73.93762,"(40.82366, -73.93762)",7 AVENUE                        ,,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,Unspecified,,,3780510,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
10/31/17,0:40,,,40.711864,-73.95454,"(40.711864, -73.95454)",,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3780333,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/17,0:48,BROOKLYN,11230,40.62128,-73.96992,"(40.62128, -73.96992)",,,1119      OCEAN PARKWAY                 ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3781366,TAXI,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
10/31/17,0:50,MANHATTAN,10018,40.757668,-73.99483,"(40.757668, -73.99483)",WEST 40 STREET                  ,DYER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781176,SPORT UTILITY / STATION WAGON,TK,,,
10/31/17,10:00,QUEENS,11378,40.72621,-73.920525,"(40.72621, -73.920525)",48 STREET                       ,56 ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781586,DS,PASSENGER VEHICLE,,,
10/31/17,10:00,,,,,,ROCKAWAY BOULEVARD              ,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Turning Improperly,Traffic Control Disregarded,,,,3780610,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/17,10:00,,,40.737534,-73.99728,"(40.737534, -73.99728)",WEST 14 STREET                  ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3780989,PASSENGER VEHICLE,TK,,,
10/31/17,10:00,QUEENS,11385,,,,Myrtle Ave                      ,cooper avenue,,1,0,0,0,0,0,1,0,Reaction to Other Uninvolved Vehicle,Unspecified,Unspecified,Unspecified,,3780649,PICK-UP TRUCK,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
10/31/17,10:05,,,40.72225,-74.00592,"(40.72225, -74.00592)",CANAL STREET                    ,AVENUE OF THE AMERICAS,,0,0,0,0,0,0,0,0,Passenger Distraction,Following Too Closely,,,,3780919,PASSENGER VEHICLE,TK,,,
10/31/17,10:05,,,,,,WEST BEDFORD PARK BOULEVARD     ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Backing Unsafely,,,,3780713,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/17,10:06,BROOKLYN,11223,,,,W 9th Street                    ,Highlawn Ave,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,3780819,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/17,10:08,,,,,,DEAN STEET                      ,VANDERBILT,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3780885,SPORT UTILITY / STATION WAGON,TAXI,,,
10/31/17,10:10,MANHATTAN,10031,40.82067,-73.95467,"(40.82067, -73.95467)",,,3359      BROADWAY                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781310,TAXI,SPORT UTILITY / STATION WAGON,,,
10/31/17,10:20,QUEENS,11433,40.704926,-73.77982,"(40.704926, -73.77982)",180 STREET                      ,104 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3781136,PASSENGER VEHICLE,BU,,,
10/31/17,10:20,,,40.680252,-73.94713,"(40.680252, -73.94713)",FULTON STREET                   ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3780540,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/17,10:24,,,40.749878,-73.93711,"(40.749878, -73.93711)",QUEENS PLAZA NORTH              ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3780505,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/17,10:25,MANHATTAN,10012,40.72457,-73.9997,"(40.72457, -73.9997)",,,112       GREENE STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780913,TK,PASSENGER VEHICLE,,,
10/31/17,10:25,,,,,,GRAND CENTRAL PARKWAY           ,69 ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780516,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/17,10:29,MANHATTAN,10065,40.76661,-73.965,"(40.76661, -73.965)",EAST 66 STREET                  ,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781015,DS,SPORT UTILITY / STATION WAGON,,,
10/31/17,10:30,BROOKLYN,11218,40.647694,-73.98037,"(40.647694, -73.98037)",FORT HAMILTON PARKWAY           ,MC DONALD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780641,TK,AM,,,
10/31/17,10:30,,,40.660656,-73.885796,"(40.660656, -73.885796)",LINDEN BOULEVARD                ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781016,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/17,10:30,,,,,,LONG ISLAND EXPRESSWAY          ,74 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780667,SPORT UTILITY / STATION WAGON,TK,,,
10/31/17,10:30,BROOKLYN,11216,40.678963,-73.954155,"(40.678963, -73.954155)",ATLANTIC AVENUE                 ,BEDFORD PLACE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3780524,PASSENGER VEHICLE,MOTORCYCLE,,,
10/31/17,10:30,QUEENS,11432,40.721226,-73.78069,"(40.721226, -73.78069)",GRAND CENTRAL PARKWAY           ,KENT STREET,,1,0,0,0,0,0,1,0,Drugs (Illegal),,,,,3781507,PASSENGER VEHICLE,,,,
10/31/17,10:35,,,40.805557,-73.912415,"(40.805557, -73.912415)",JACKSON AVENUE                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780590,TAXI,PICK-UP TRUCK,,,
10/31/17,10:35,,,,,,,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Driver Inattention/Distraction,,,,3780680,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/17,10:40,,,40.701763,-73.81618,"(40.701763, -73.81618)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Driver Inattention/Distraction,,,,3781184,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/17,10:43,MANHATTAN,10010,40.741993,-73.99346,"(40.741993, -73.99346)",,,686       AVENUE OF THE AMERICAS        ,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3781289,PICK-UP TRUCK,PICK-UP TRUCK,,,
10/31/17,10:45,MANHATTAN,10021,40.770477,-73.96639,"(40.770477, -73.96639)",EAST 70 STREET                  ,MADISON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3781109,PASSENGER VEHICLE,,,,
10/31/17,10:49,,,40.764843,-73.9473,"(40.764843, -73.9473)",,,4         RIVER ROAD                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780569,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/17,10:50,QUEENS,11354,,,,NORTHERN BOULEVARD              ,PARSONS BOULEVARD,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3780558,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/17,10:50,BROOKLYN,11226,40.642017,-73.96266,"(40.642017, -73.96266)",CORTELYOU ROAD                  ,EAST 17 STREET,,1,0,0,0,0,0,1,0,Pavement Defective,,,,,3781067,PASSENGER VEHICLE,,,,
10/31/17,10:50,,,40.656082,-73.95306,"(40.656082, -73.95306)",ROGERS AVENUE                   ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3781294,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/17,10:50,,,40.78166,-73.944016,"(40.78166, -73.944016)",,,,1,0,0,0,0,0,1,0,Following Too Closely,,,,,3781014,PASSENGER VEHICLE,,,,
10/31/17,10:50,BROOKLYN,11226,40.642017,-73.96266,"(40.642017, -73.96266)",CORTELYOU ROAD                  ,EAST 17 STREET,,2,0,0,0,0,0,2,0,Pavement Defective,,,,,3781155,PASSENGER VEHICLE,,,,
10/31/17,10:55,BRONX,10461,40.849346,-73.831665,"(40.849346, -73.831665)",,,2913      SAINT THERESA AVENUE          ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3781557,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,light,PASSENGER VEHICLE
10/31/17,10:56,BRONX,10459,40.8208,-73.90268,"(40.8208, -73.90268)",EAST 161 STREET                 ,UNION AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3780557,PASSENGER VEHICLE,,,,
10/31/17,10:58,QUEENS,11426,40.733345,-73.71655,"(40.733345, -73.71655)",,,250-07    85 AVENUE                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780544,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/17,10:59,,,40.882683,-73.8265,"(40.882683, -73.8265)",TILLOTSON AVENUE                ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,3781620,PASSENGER VEHICLE,,,,
10/31/17,11:00,BRONX,10468,40.869087,-73.89467,"(40.869087, -73.89467)",,,2755      MORRIS AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3780711,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
